Consecutive number,"Connection
device identifier(full)","cable
Type/connections number/RCS",Connection: Type designation,Connection color / number,Connection: Cross-section / diameter,Length (full),"Device (source)
Name of target connection point (full)","Device (target)
Name of target connection point (full)",Wire termination processing source,Wire termination processing target,Routing direction source,Routing direction target,Bundle,Layout space: Routing track,Connection designation,Remark
1093,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,BN,"0,25",3 m,=Q15+K1.B1-A22:X1:7,=Q15+K1.G1-G2:REMOTE I/O:7,,,,,,,,
1094,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,GN,"0,25",3 m,=Q15+K1.B1-A22:X1:18,=Q15+K1.G1-G2:REMOTE I/O:18,,,,,,,,
1095,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,YE,"0,25",3 m,=Q15+K1.B1-A22:X1:19,=Q15+K1.G1-G2:REMOTE I/O:19,,,,,,,,
1096,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,GY,"0,25",3 m,=Q15+K1.B1-A22:X1:5,=Q15+K1.G1-G2:REMOTE I/O:5,,,,,,,,
1097,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,PK,"0,25",3 m,=Q15+K1.B1-A22:X1:4,=Q15+K1.G1-G2:REMOTE I/O:4,,,,,,,,
1098,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,BU,"0,25",3 m,=Q15+K1.B1-A22:X1:17,=Q15+K1.G1-G2:REMOTE I/O:17,,,,,,,,
1099,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,RD,"0,25",3 m,=Q15+K1.B1-A22:X1:16,=Q15+K1.G1-G2:REMOTE I/O:16,,,,,,,,
1100,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-A22:X1:11,=Q15+K1.G1-G2:REMOTE I/O:11,,,,,,,,
1101,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,Schirm,"0,00",,=Q15+K1-W420:Schirm,=Q15+K1.G1-G2:CASE,,,,,,,,
1102,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,,,,=Q15+K1-W420,=A02+K1.B1-W9:SE,,,,,,,,
1103,=Q15+K1-W421,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,,,,,,,,,,,,,
1104,=Q15+K1-W421,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,WH,"0,5",,=Q15+K1.B1-A3:3,=Q15+K1.B1-A22:X2:6,,,,,,,,
1105,=Q15+K1-W421,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,BN,"0,5",,=Q15+K1.B1-A3:4,=Q15+K1.B1-A22:X2:7,,,,,,,,
1106,=Q15+K1-W421,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,GN,"0,5",,=Q15+K1.B1-A4:3,=Q15+K1.B1-A22:X2:18,,,,,,,,
1107,=Q15+K1-W421,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,YE,"0,5",,=Q15+K1.B1-A4:4,=Q15+K1.B1-A22:X2:19,,,,,,,,
1108,=Q15+K1-W421,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,GY,"0,5",,=Q15+K1.B1-A3:7,=Q15+K1.B1-A22:X2:5,,,,,,,,
1109,=Q15+K1-W421,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,BU,"0,75",,=Q15+K1.B1-A22:X2:4,=Q15+K1.B1-A3:8,,,,,,,,
1110,=Q15+K1-W421,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,BU,"0,75",,=Q15+K1.B1-A22:X2:17,=Q15+K1.B1-A4:7,,,,,,,,
1111,=Q15+K1-W421,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,BU,"0,75",,=Q15+K1.B1-A22:X2:16,=Q15+K1.B1-A4:8,,,,,,,,
1112,=Q15+K1-W103,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,1,"1,5",4 m,=Q15+K1.B1-X20:5:4,=Q15+K1.G1-G3:X2.L,,,,,,,,
1113,=+,,H07V-K,BK,"2,5",,=Q15+K1.H2-F13:2,=Q15+K1.B1-X20:5:3,,,,,,,,
1114,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W2.1:2L3,=Q15+K1.H2-F13:1,,,,,,,,
1115,=Q15+K1-W103,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,2,"1,5",4 m,=Q15+K1.B1-X20:6:5,=Q15+K1.G1-G3:X2.N,,,,,,,,
1116,=+,,H07V-K,BU,"2,5",,=A02+K1.H2-X5:N:2,=Q15+K1.B1-X20:6:2,,,,,,,,
1117,=Q15+K1-W103,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,GNYE,"1,5",4 m,=Q15+K1.B1-X20:PE:1,=Q15+K1.G1-G3:X2.PE,,,,,,,,
1118,=Q15+K1-W113,"H07V-K 1x1,5 mm²",,GNYE,"1,5",4 m,=A02+K1.H2-X6:PE:2,=Q15+K1.G1-G3:PE,,,,,,,,
1119,=+,,H05V-K,BU,"0,5",,=Q15+K1.H2-F13:14,=Q15+K1.B1-A2:5,,,,,,,,
1120,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-A2:5,=Q15+K1.B1-A2:6,,,,,,,,
1121,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-A2:6,=Q15+K1.B1-A2:13,,,,,,,,
1122,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-W5(-P2):P2:1,=Q15+K1.B1-K23:A2,,,,,,,,
1123,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-K23:A1,=Q15+K1.B1-A1:4,,,,,,,,
1124,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-W5(-P1):P1:1,=Q15+K1.B1-K23:12,,,,,,,,
1125,=Q15+K1-W430,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,BK,"0,25",3 m,=Q15+K1.B1-A23:X1:8,=Q15+K1.G1-G3:8,,,,,,,,
1126,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-A23:X2:8,=Q15+K1.B1-K23:11,,,,,,,,
1127,=Q15+K1-W430,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,VT,"0,25",3 m,=Q15+K1.B1-A23:X1:14,=Q15+K1.G1-G3:14,,,,,,,,
1128,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-K3:11,=Q15+K1.B1-A23:X2:14,,,,,,,,
1129,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-K3:14,=Q15+K1.B1-A23:X2:13,,,,,,,,
1130,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-W5(-P2):P2:1,=Q15+K1.B1-K3:A2,,,,,,,,
1131,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-K3:A1,=Q15+K1.B1-A1:5,,,,,,,,
1132,=Q15+K1-W430,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,GYPK,"0,25",3 m,=Q15+K1.B1-A23:X1:13,=Q15+K1.G1-G3:13,,,,,,,,
1133,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,,,,=A02+K1.B1-W11:SE,=Q15+K1-W431,,,,,,,,
1134,=Q15+K1-W430,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,WH,"0,25",3 m,=Q15+K1.B1-A23:X1:6,=Q15+K1.G1-G3:6,,,,,,,,
1135,=Q15+K1-W430,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,BN,"0,25",3 m,=Q15+K1.B1-A23:X1:7,=Q15+K1.G1-G3:7,,,,,,,,
1136,=Q15+K1-W430,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,GN,"0,25",3 m,=Q15+K1.B1-A23:X1:18,=Q15+K1.G1-G3:18,,,,,,,,
1137,=Q15+K1-W430,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,YE,"0,25",3 m,=Q15+K1.B1-A23:X1:19,=Q15+K1.G1-G3:19,,,,,,,,
1138,=Q15+K1-W430,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,GY,"0,25",3 m,=Q15+K1.B1-A23:X1:5,=Q15+K1.G1-G3:5,,,,,,,,
1139,=Q15+K1-W430,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,PK,"0,25",3 m,=Q15+K1.B1-A23:X1:4,=Q15+K1.G1-G3:4,,,,,,,,
1140,=Q15+K1-W430,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,BU,"0,25",3 m,=Q15+K1.B1-A23:X1:17,=Q15+K1.G1-G3:17,,,,,,,,
1141,=Q15+K1-W430,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,RD,"0,25",3 m,=Q15+K1.B1-A23:X1:16,=Q15+K1.G1-G3:16,,,,,,,,
1142,=Q15+K1-W430,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,RDBU,"0,25",3 m,=Q15+K1.B1-A23:X1:11,=Q15+K1.G1-G3:11,,,,,,,,
1143,=Q15+K1-W430,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,,,,=Q15+K1-W430,=A02+K1.B1-W9:SE,,,,,,,,
1144,=Q15+K1-W430,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,Schirm,"0,00",,=Q15+K1-W430:Schirm,=Q15+K1.G1-G3:CASE,,,,,,,,
1145,=Q15+K1-W431,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,,,,,,,,,,,,,
1146,=Q15+K1-W431,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,WH,"0,5",,=Q15+K1.B1-A5:1,=Q15+K1.B1-A23:X2:6,,,,,,,,
1147,=Q15+K1-W431,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,BN,"0,5",,=Q15+K1.B1-A5:2,=Q15+K1.B1-A23:X2:7,,,,,,,,
1148,=Q15+K1-W431,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,GN,0.5,,=Q15+K1.B1-A6:1,=Q15+K1.B1-A23:X2:18,,,,,,,,
1149,=Q15+K1-W431,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,YE,0.5,,=Q15+K1.B1-A6:2,=Q15+K1.B1-A23:X2:19,,,,,,,,
1150,=Q15+K1-W431,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,GY,0.5,,=Q15+K1.B1-A5:5,=Q15+K1.B1-A23:X2:5,,,,,,,,
1151,=Q15+K1-W431,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,BU,"0,75",,=Q15+K1.B1-A23:X2:4,=Q15+K1.B1-A5:6,,,,,,,,
1152,=Q15+K1-W431,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,RD,0.5,,=Q15+K1.B1-A6:5,=Q15+K1.B1-A23:X2:17,,,,,,,,
1153,=Q15+K1-W431,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,BU,"0,75",,=Q15+K1.B1-A23:X2:16,=Q15+K1.B1-A6:6,,,,,,,,
1154,=Q15+K1-W104,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,1,"2,5",4 m,=Q15+K1.B1-X20:7:4,=Q15+K1.G1-G4:X2.L,,,,,,,,
1155,=+,,H07V-K,BK,"2,5",,=Q15+K1.H2-F14:2,=Q15+K1.B1-X20:7:3,,,,,,,,
1156,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W2.1:2L1,=Q15+K1.H2-F14:1,,,,,,,,
1157,=Q15+K1-W104,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,2,"2,5",4 m,=Q15+K1.B1-X20:8:5,=Q15+K1.G1-G4:X2.N,,,,,,,,
1158,=+,,H07V-K,BU,"2,5",,=A02+K1.H2-X5:N:1,=Q15+K1.B1-X20:8:2,,,,,,,,
1159,=Q15+K1-W104,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,GNYE,"2,5",4 m,=Q15+K1.B1-X20:PE:1,=Q15+K1.G1-G4:X2.PE,,,,,,,,
1160,=Q15+K1-W114,"H07V-K 1x1,5 mm²",,GNYE,"1,5",4 m,=A02+K1.H2-X6:PE:2,=Q15+K1.G1-G4:PE,,,,,,,,
1161,=Q15+I1-W104.1,"ÖLFLEX® CLASSIC 110 3x0,5 mm²",,1,0.5,7 m,=A02+K1.B1-X23-X23.6M:8,=Q15+S1-A3:2,,,,,,,,
1162,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-V2:2.1,=A02+K1.B1-X23-X23.6F:8,,,,,,,,
1163,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-W5(-P1):P1:1,=Q15+K1.B1-V2:1.1,,,,,,,,
1164,=Q15+I1-W104.1,"ÖLFLEX® CLASSIC 110 3x0,5 mm²",,2,0.5,7 m,=A02+K1.B1-X23-X23.6M:9,=Q15+S1-A3:1,,,,,,,,
1165,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X23-X23.6F:9,=Q15+K1.B1-V2:3.2,,,,,,,,
1166,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-W5(-P2):P2:2,=Q15+K1.B1-V2:3.1,,,,,,,,
1167,=Q15+I1-W104.1,"ÖLFLEX® CLASSIC 110 3x0,5 mm²",,GNYE,0.5,7 m,=A02+K1.B1-X23-X23.6M:10,=Q15+S1-A3:PE,,,,,,,,
1168,=Q15+K1-W210,"ÖLFLEX® CLASSIC 110 CY 2x1,5 mm²",,,,,,,,,,,,,,
1169,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-A2:7,=Q15+K1.H2-F14:11,,,,,,,,
1170,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-A2:7,=Q15+K1.B1-A2:14,,,,,,,,
1171,=Q15+K1-W440,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,BU,"0,25",3 m,=Q15+K1.B1-A24:X1:4,=Q15+K1.G1-G4:4,,,,,,,,
1172,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-A24:X2:4,=Q15+K1.B1-R4:1,,,,,,,,
1173,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-K4:11,=Q15+K1.B1-R4:2,,,,,,,,
1174,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-W5(-P1):P1:1,=Q15+K1.B1-K4:14,,,,,,,,
1175,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-K4:A1,=Q15+K1.B1-A1:6,,,,,,,,
1176,=Q15+K1-W440,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,RD,"0,25",3 m,=Q15+K1.B1-A24:X1:17,=Q15+K1.G1-G4:17,,,,,,,,
1177,=Q15+K1-W440,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,WH,"0,25",3 m,=Q15+K1.B1-A24:X1:5,=Q15+K1.G1-G4:5,,,,,,,,
1178,=Q15+K1-W440,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,BN,"0,25",3 m,=Q15+K1.B1-A24:X1:18,=Q15+K1.G1-G4:18,,,,,,,,
1179,=Q15+K1-W440,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,GN,"0,25",3 m,=Q15+K1.B1-A24:X1:2,=Q15+K1.G1-G4:2,,,,,,,,
1180,=Q15+K1-W440,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,YE,"0,25",3 m,=Q15+K1.B1-A24:X1:15,=Q15+K1.G1-G4:15,,,,,,,,
1181,=Q15+K1-W440,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,PK,"0,25",3 m,=Q15+K1.B1-A24:X1:16,=Q15+K1.G1-G4:16,,,,,,,,
1182,=Q15+K1-W440,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,BK,"0,25",3 m,=Q15+K1.B1-A24:X1:10,=Q15+K1.G1-G4:10,,,,,,,,
1183,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-A24:X2:10,=Q15+K1.B1-A24:X2:23,,,,,,,,
1184,=Q15+K1-W440,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,VT,"0,25",3 m,=Q15+K1.B1-A24:X1:23,=Q15+K1.G1-G4:23,,,,,,,,
1185,=Q15+K1-W440,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,VT,"0,25",2 m,=Q15+K1.G1-G4:CASE,=A02+K1.B1-W9:SE,,,,,,,,
1186,=Q15+K1-W441,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,,,,,,,,,,,,,
1187,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-A24:X2:17,=Q15+K1.B1-K4:A2,,,,,,,,
1188,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-W5(-P2):P2:2,=Q15+K1.B1-A24:X2:17,,,,,,,,
1189,=Q15+K1-W441,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,WH,"0,5",,=Q15+K1.B1-A5:3,=Q15+K1.B1-A24:X2:5,,,,,,,,
1190,=Q15+K1-W441,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,BN,"0,5",,=Q15+K1.B1-A5:4,=Q15+K1.B1-A24:X2:18,,,,,,,,
1191,=Q15+K1-W441,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,GN,"0,5",,=Q15+K1.B1-A6:3,=Q15+K1.B1-A24:X2:2,,,,,,,,
1192,=Q15+K1-W441,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,YE,"0,5",,=Q15+K1.B1-A6:4,=Q15+K1.B1-A24:X2:15,,,,,,,,
1193,=Q15+K1-W441,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,GY,"0,25",3 m,=Q15+K1.B1-A24:X1:3,=Q15+K1.G1-G4:3,,,,,,,,
1194,=Q15+K1-W441,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,GY,"0,5",,=Q15+K1.B1-A6:7,=Q15+K1.B1-A24:X2:3,,,,,,,,
1195,=Q15+K1-W441,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,PK,"0,5",,=Q15+K1.B1-A6:8,=Q15+K1.B1-A24:X2:16,,,,,,,,
1196,=Q15+K1-W441,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,,,,=Q15+K1-W441,=A02+K1.B1-W11:SE,,,,,,,,
1197,=Q15+K1-W105,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,1,"1,5",5 m,=Q15+K1.B1-X20:9:4,=Q15+K1.G1-G5:L,,,,,,,,
1198,=+,,H07V-K,BK,"2,5",,=Q15+K1.H2-F15:2,=Q15+K1.B1-X20:9:3,,,,,,,,
1199,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W2.1:2L2,=Q15+K1.H2-F15:1,,,,,,,,
1200,=Q15+K1-W105,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,2,"1,5",5 m,=Q15+K1.B1-X20:10:5,=Q15+K1.G1-G5:N,,,,,,,,
1201,=+,,H07V-K,BU,"2,5",,=A02+K1.H2-X5:8:2,=Q15+K1.B1-X20:10:2,,,,,,,,
1202,=Q15+K1-W105,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,GNYE,"1,5",5 m,=Q15+K1.B1-X20:PE:1,=Q15+K1.G1-G5:PE,,,,,,,,
1203,=Q15+I1-W102.1,H07V-K 1x16 mm²,,GNYE,"16,00",5 m,=Q15+K1.G1-G5:PE,=A01+S1-W0:PE,,,,,,,,
1204,=+,,H05V-K,BU,"0,5",,=Q15+K1.G1-G5:INTL.1,=Q15+K1.G1-G5:INTL.2,,,,,,,,
1205,=+,,H05V-K,BU,"0,5",,=Q15+K1.H2-F15:11,=Q15+K1.B1-A2:15,,,,,,,,
1206,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,WH,"0,25",3 m,=Q15+K1.B1-A25:X1:1,=Q15+K1.G1-G5:ANALOG.1,,,,,,,,
1207,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-U1:.10,=Q15+K1.B1-A25:X2:1,,,,,,,,
1208,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-A1:16,=Q15+K1.B1-U1:.1,,,,,,,,
1209,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,BN,"0,25",3 m,=Q15+K1.B1-A25:X1:2,=Q15+K1.G1-G5:ANALOG.2,,,,,,,,
1210,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-U1:.11,=Q15+K1.B1-A25:X2:2,,,,,,,,
1211,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-A1:15,=Q15+K1.B1-U1:.2,,,,,,,,
1212,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,GN,"0,25",3 m,=Q15+K1.B1-A25:X1:3,=Q15+K1.G1-G5:ANALOG.3,,,,,,,,
1213,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-U1:.12,=Q15+K1.B1-A25:X2:3,,,,,,,,
1214,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-U1:.12,=Q15+K1.B1-W5(-P2):P2:6,,,,,,,,
1215,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-W5(-P2):P2:6,=Q15+K1.B1-U1:.3,,,,,,,,
1216,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-U1:.3,=Q15+K1.B1-U1:.6,,,,,,,,
1217,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-W5(-P1):P1:5,=Q15+K1.B1-U1:.9,,,,,,,,
1218,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,GY,"0,25",3 m,=Q15+K1.B1-A25:X1:5,=Q15+K1.G1-G5:ANALOG.5,,,,,,,,
1219,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,GYBN,"0,25",10 m,=Q15+K1.G1-G5:ANALOG.18,=Q15+K1.B1-A25:X1:18,,,,,,,,
1220,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-U2:.1,=Q15+K1.B1-A25:X2:18,,,,,,,,
1221,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-A2:16,=Q15+K1.B1-U2:.10,,,,,,,,
1222,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,PK,"0,25",3 m,=Q15+K1.B1-A25:X1:6,=Q15+K1.G1-G5:ANALOG.6,,,,,,,,
1223,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-U2:.3,=Q15+K1.B1-A25:X2:6,,,,,,,,
1224,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-U2:.3,=Q15+K1.B1-W5(-P2):P2:7,,,,,,,,
1225,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-W5(-P2):P2:7,=Q15+K1.B1-U2:.12,,,,,,,,
1226,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-U2:.12,=Q15+K1.B1-U2:.6,,,,,,,,
1227,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-W5(-P1):P1:6,=Q15+K1.B1-U2:.9,,,,,,,,
1228,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,WHGN,"0,25",10 m,=Q15+K1.G1-G5:ANALOG.13,=Q15+K1.B1-A25:X1:13,,,,,,,,
1229,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,WHYE,"0,25",10 m,=Q15+K1.G1-G5:ANALOG.15,=Q15+K1.B1-A25:X1:15,,,,,,,,
1230,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,BU,"0,25",3 m,=Q15+K1.B1-A25:X1:7,=Q15+K1.G1-G5:ANA.7,,,,,,,,
1231,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,GYPK,"0,25",10 m,=Q15+K1.G1-G5:ANA.11,=Q15+K1.B1-A25:X1:11,,,,,,,,
1232,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,WHPK,"0,25",10 m,=Q15+K1.G1-G5:ANA.19,=Q15+K1.B1-A25:X1:19,,,,,,,,
1233,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,WHBU,"0,25",10 m,=Q15+K1.G1-G5:ANA.21,=Q15+K1.B1-A25:X1:21,,,,,,,,
1234,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,BNGN,"0,25",10 m,=Q15+K1.G1-G5:ANA.14,=Q15+K1.B1-A25:X1:14,,,,,,,,
1235,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,YEBN,"0,25",10 m,=Q15+K1.G1-G5:ANA.16,=Q15+K1.B1-A25:X1:16,,,,,,,,
1236,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,WHRD,"0,25",10 m,=Q15+K1.G1-G5:ANA.23,=Q15+K1.B1-A25:X1:23,,,,,,,,
1237,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,BNRD,"0,25",10 m,=Q15+K1.G1-G5:ANA.24,=Q15+K1.B1-A25:X1:24,,,,,,,,
1238,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,SHIELD,,,,,,,,,,,,
1239,=Q15+K1-W451,"UNITRONIC® LiYCY (TP) 8x0,5",,WH,"0,5",3 m,=Q15+K1.B1-A8:1,=Q15+K1.B1-A25:X2:7,,,,,,,,
1240,=Q15+K1-W451,"UNITRONIC® LiYCY (TP) 8x0,5",,BN,"0,5",3 m,=Q15+K1.B1-A8,=Q15+K1.B1-A25:X2:11,,,,,,,,
1241,=Q15+K1-W451,"UNITRONIC® LiYCY (TP) 8x0,5",,GN,"0,5",3 m,=Q15+K1.B1-A8:5,=Q15+K1.B1-A25:X2:19,,,,,,,,
1242,=Q15+K1-W451,"UNITRONIC® LiYCY (TP) 8x0,5",,YE,"0,5",3 m,=Q15+K1.B1-A8,=Q15+K1.B1-A25:X2:21,,,,,,,,
1243,=Q15+K1-W451,"UNITRONIC® LiYCY (TP) 8x0,5",,GY,"0,5",3 m,=Q15+K1.B1-A7:1,=Q15+K1.B1-A25:X2:14,,,,,,,,
1244,=Q15+K1-W451,"UNITRONIC® LiYCY (TP) 8x0,5",,PK,"0,5",3 m,=Q15+K1.B1-A7,=Q15+K1.B1-A25:X2:16,,,,,,,,
1245,=Q15+K1-W451,"UNITRONIC® LiYCY (TP) 8x0,5",,RD,"0,5",3 m,=Q15+K1.B1-A7:5,=Q15+K1.B1-A25:X2:23,,,,,,,,
1246,=Q15+K1-W451,"UNITRONIC® LiYCY (TP) 8x0,5",,BU,"0,5",3 m,=Q15+K1.B1-A7,=Q15+K1.B1-A25:X2:24,,,,,,,,
1247,=Q15+K1-W451,"UNITRONIC® LiYCY (TP) 8x0,5",,Schirm,,,,,,,,,,,,
1248,=Q15+K1-W451,"UNITRONIC® LiYCY (TP) 8x0,5",,Shield,,,,,,,,,,,,
1249,=Q15+K1-W450,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,RD,"0,25",10 m,=Q15+K1.B1-A25:X1:8,=Q15+K1.G1-G5:ANA.8,,,,,,,,
1250,=Q15+K1-W452,"UNITRONIC® LiYCY (TP) 8x0,5",,WH,"0,5",3 m,=Q15+K1.B1-A8:3,=Q15+K1.B1-A25:X2:8,,,,,,,,
